outcome,spec,coef,se,p,firststage_F,N
any_ipv,district_fe,-.0867256947302962,.03451309,.016883371,6.2716641,50561
less_severe_violence,district_fe,-.0851422555331607,.044928618,.066613995,6.2716641,50561
severe_violence,district_fe,-.0600512277578747,.0406891,.14918464,6.2716641,50561
sexual_violence,district_fe,-.0454668275479047,.021684766,.043531992,6.2716641,50561
emotional_violence,district_fe,-.0225698278526795,.030585522,.46562287,6.2716641,50561
