outcome,coef,se,p,N
husband_schooling,.3499245647281219,.16636185,.042906292,67539
educ_gap_husband_minus_wife,-.2546566662520897,.10143748,.01697829,67539
age_gap_husband_minus_wife,-.0946652254070965,.17454363,.59110904,66144
husband_more_educated,.0208407014061125,.013455147,.13066441,67539
wife_more_educated,.0312113196752435,.016348198,.064710557,67539
