outcome,coef,se,p,firststage_F,N
any_ipv,-.1233089569108337,.10269619,.23840952,1.2078259,23669
less_severe_violence,-.095648933478041,.087406576,.28174722,1.2078259,23669
severe_violence,-.0548914558422248,.063566193,.39407802,1.2078259,23669
sexual_violence,-.0711828339462063,.047879629,.14658587,1.2078259,23669
emotional_violence,-.0507051053726462,.053446744,.34966782,1.2078259,23669
