outcome,coef,se,p,N
decision_health_care,-.0089814953020755,.016941834,.59956616,30150
decision_household_purchases,.0005526897830386,.018526234,.97638011,30150
decision_family_visits,.0084203112613816,.019468475,.66818416,30150
decision_husband_money,.0033130947291441,.019168563,.86383295,29313
decision_own_earning,-.0060945477964239,.042645987,.8872301,5982
