outcome,coef,se,p,firststage_F,N
any_ipv,-.0819191169393931,.02809364,.0062377453,7.2994208,50561
less_severe_violence,-.0798972683279327,.036033161,.033388842,7.2994208,50561
severe_violence,-.0526493252670517,.032760859,.11728536,7.2994208,50561
sexual_violence,-.0397176891677355,.017422345,.029020052,7.2994208,50561
emotional_violence,-.0199310283864283,.025851661,.44604576,7.2994208,50561
