outcome,coef,se,p,N
husband_schooling,.2462163243197626,.23371892,.29977745,30871
educ_gap_husband_minus_wife,-.1484989305489856,.2324705,.52737111,30871
age_gap_husband_minus_wife,-.2749350084148335,.13672099,.052562077,30255
husband_more_educated,.0153936068060981,.024660006,.53676611,30871
wife_more_educated,.0283249985250041,.030335058,.35722131,30871
