outcome,coef,se,p,N
decision_health_care,-.0047043767479219,.01738747,.78836417,65834
decision_household_purchases,.0149784355716381,.016548298,.37176371,65834
decision_family_visits,.0204631494356513,.017082719,.23924564,65834
decision_husband_money,-.008148397248748,.017153438,.63780302,63888
decision_own_earning,-.0143877200046387,.052986089,.78761953,12243
