outcome,coef,se,p,N
any_ipv,-.0455613498458028,.016024536,.0076063299,23669
less_severe_violence,-.0353412649798201,.016439838,.039001405,23669
severe_violence,-.0202818099011374,.01322371,.1346247,23669
sexual_violence,-.0263013010708052,.0090890685,.0066971364,23669
emotional_violence,-.0187349978681757,.016329959,.25951689,23669
