outcome,coef,se,p,firststage_F,N
husband_schooling,.5787883361194964,.15055594,.00050470489,9.5534935,67539
educ_gap_husband_minus_wife,-.421211663880485,.15055594,.0084134694,9.5534935,67539
age_gap_husband_minus_wife,-.1481445693107798,.26257098,.57631606,11.776945,66144
husband_more_educated,.034471300692423,.026027411,.19419689,9.5534935,67539
wife_more_educated,.0516246917302423,.022279223,.026649499,9.5534935,67539
