outcome,coef,se,p,N
z_attitudes,.0157583186359783,.008276239,.065395556,96609
beat_out_withoutpermission,.0140373973928495,.011677861,.23764887,96137
beat_neglectchild,.0188055176756025,.010669635,.086968772,96131
beat_argue_husband,.0177650148009512,.010306337,.093845941,95948
beat_refuse_sex,.0118122498928267,.0086658886,.18181859,95453
beat_burn_food,.0126582528213735,.0080676572,.12590612,96189
