outcome,coef,se,p,N
any_ipv,-.053800009215032,.016735852,.0028602451,50561
less_severe_violence,-.0524721692920448,.017661542,.0054161861,50561
severe_violence,-.0345772060339494,.01551946,.032602519,50561
sexual_violence,-.0260844125651994,.0090457806,.0067734127,50561
emotional_violence,-.0130896126681669,.018556479,.48537067,50561
