outcome,coef,se,p,firststage_F,N
beat_out_withoutpermission,.0304633607541422,.026494091,.25824296,11.382828,96137
beat_neglectchild,.0422904029536391,.030184325,.1702545,9.7965279,96131
beat_argue_husband,.0384910238644495,.0275506,.17143477,11.583365,95948
beat_refuse_sex,.0247523333793984,.021661093,.2611424,12.613762,95453
beat_burn_food,.0276733899206484,.021582887,.20844942,11.570228,96189
