outcome,coef,se,p,firststage_F,N
husband_schooling,.6237821347990425,.49101397,.21282767,2.189769,30871
educ_gap_husband_minus_wife,-.3762178652009642,.49101397,.44900012,2.189769,30871
age_gap_husband_minus_wife,-.6414077675347243,.35792279,.082302131,2.6792645,30255
husband_more_educated,.0389992700211546,.075211905,.60755163,2.189769,30871
wife_more_educated,.0717605873490238,.066976234,.29174823,2.189769,30871
