outcome,coef,se,p,firststage_F,N
decision_health_care,-.0214282588916461,.043796271,.62788612,2.5217361,30150
decision_household_purchases,.0013186200470415,.043722775,.9761222,2.5217361,30150
decision_family_visits,.0200893730485433,.045054633,.65858918,2.5217361,30150
decision_husband_money,.0066677696937147,.038195796,.86248559,4.0936236,29313
decision_own_earning,-.0048680237169545,.034420442,.88839149,4.0199895,5982
